talimat,giris,cevap,talimatLength,talimatWordCount,girisLength,girisWordCount,cevapLength,cevapWordCount,soru
 Aşağıdaki ülkeleri karşılık gelen para birimleriyle eşleştirin, - Hindistan - Japonya - Kanada, Hindistan: Rupi; Japonya: Yen; Kanada: Kanada Doları.,63,7,31,6,54,7, Aşağıdaki ülkeleri karşılık gelen para birimleriyle eşleştirin  - Hindistan - Japonya - Kanada
" ""Yarış arabası"" dizesi verildiğinde, dizenin bir palindrom olup olmadığını belirleyin.", yarış arabası," Evet, yarış arabası bir palindromdur.",87,10,14,2,38,5," ""Yarış arabası"" dizesi verildiğinde, dizenin bir palindrom olup olmadığını belirleyin.  yarış arabası"
 Aşağıdaki durumu açıklamak için bir metafor oluşturun. Metaforun çıktısını alın., Arıza,"Başarısızlık karanlık bir tünel gibidir - içinden geçmek ne kadar zor olursa olsun, sonunda diğer taraftan ışığa çıkacaksın.",81,10,6,1,124,18, Aşağıdaki durumu açıklamak için bir metafor oluşturun. Metaforun çıktısını alın.  Arıza
" Bunu bir hayvan, bitki veya mantar olarak sınıflandırın.", tek boynuzlu at, hayvan,57,8,16,3,7,1," Bunu bir hayvan, bitki veya mantar olarak sınıflandırın.  tek boynuzlu at"
 Aşağıdaki pasajı ana hatlarıyla belirtin," Amerikalı astronotlar 1969'dan beri ayı keşfettiler. Üsler inşa ettiler, ay gezicileri kullandılar ve örnekler topladılar.", I. Amerikan Astronotları Ay'ı Keşfetti A. 1969'da Ay'a iniş B. Üs inşa etmek C. Ay gezgini kullanmak D. Örnek toplamak,41,5,123,15,119,20," Aşağıdaki pasajı ana hatlarıyla belirtin  Amerikalı astronotlar 1969'dan beri ayı keşfettiler. Üsler inşa ettiler, ay gezicileri kullandılar ve örnekler topladılar."
" Ürün sayısı ve ürün fiyatı göz önüne alındığında, bir satın alma işleminin toplam fiyatını bulun.", Ürün Sayısı: 5 Ürün Fiyatı: 10 $, Toplam satın alma fiyatı 50 TL'dir.,98,15,33,7,36,6," Ürün sayısı ve ürün fiyatı göz önüne alındığında, bir satın alma işleminin toplam fiyatını bulun.  Ürün Sayısı: 5 Ürün Fiyatı: 10 $"
 Bir hayvanı özelliklerine göre sınıflandırmak, Hayvan: Avrupa Saka Kuşu," Saka kuşu (Carduelis carduelis), ispinoz ailesinden küçük bir ötücü kuştur. Gövde uzunluğu 11–12 cm, kanat açıklığı 19–22 cm, sırtı ve parlak sarı-turuncu renkli kanatları vardır. Baş ve boğaz siyahtır ve beyaz bir ""bıyık"" işareti vardır. Genellikle tohumlar, böcekler ve yaprak bitleri ile beslenir. Sınıflandırma: Saka kuşu, ispinoz ailesinden ötücü bir kuştur.",46,5,25,4,364,51, Bir hayvanı özelliklerine göre sınıflandırmak  Hayvan: Avrupa Saka Kuşu
 Verilen ifadenin bir gerçek mi yoksa bir görüş mü olduğunu belirleyin., Bahçecilik keyifli bir hobidir., Fikir.,71,11,32,4,7,1, Verilen ifadenin bir gerçek mi yoksa bir görüş mü olduğunu belirleyin.  Bahçecilik keyifli bir hobidir.
Aşağıdaki fonksiyon için en düşük değeri bulun, 6x^2 - 4x - 8," Verilen fonksiyonun en düşük değerini bulmak için, bir parabolün tepe noktası olan x = -b/2a formülünü kullanabiliriz. Verilen fonksiyonda, a = 6 ve b = -4, dolayısıyla tepe noktasının x koordinatı: x = -(-4)/(2*6) = 4/12 = 1/3 Karşılık gelen y'yi bulmak için -koordinat, verilen fonksiyonda x = 1/3 yerine koyabiliriz: 6(1/3)^2 - 4(1/3) - 8 = -8 2/3 Bu nedenle, verilen fonksiyonun en düşük değeri - x = 1/3'te oluşan 8 2/3.",46,7,14,5,426,73,Aşağıdaki fonksiyon için en düşük değeri bulun  6x^2 - 4x - 8
 Bu sayıyı eşdeğer onaltılık forma dönüştürün, 150, 150'nin eşdeğer onaltılık biçimi 0x96'dır.,45,6,4,1,43,5, Bu sayıyı eşdeğer onaltılık forma dönüştürün  150
 Verilen hashtag ve metinle bir tweet oluşturun.," Hashtag: #StaySafe Metin: Sosyal mesafe, virüsün yayılmasını durdurmak için kritik bir önlemdir."," Herkes güvende olsun! Sosyal mesafe, virüsün yayılmasını durdurmak için kritik bir önlemdir. #Güvende kal",48,7,97,12,106,14," Verilen hashtag ve metinle bir tweet oluşturun.  Hashtag: #StaySafe Metin: Sosyal mesafe, virüsün yayılmasını durdurmak için kritik bir önlemdir."
 Verilen müşterinin adresini hesabına bağlayın.," Müşteri Adı: John Smith Adres: 1234 Main Street, Chicago, Illinois"," John Smith'in adresi, 1234 Main Street, Chicago, Illinois, hesabına eklendi.",47,5,67,10,77,10," Verilen müşterinin adresini hesabına bağlayın.  Müşteri Adı: John Smith Adres: 1234 Main Street, Chicago, Illinois"
 Belirli bir cümleyi alın ve fiili geçmiş zamana çevirin., o çikolatayı satın alır, o çikolatayı aldı,57,9,24,4,18,3, Belirli bir cümleyi alın ve fiili geçmiş zamana çevirin.  o çikolatayı satın alır
 Daha iyi akması ve kulağa doğal gelmesi için cümleyi düzenleyin., Malzemeyi daha iyi anlamak için her zaman özenle çalışır., Malzemeyi daha iyi anlamak için her zaman özenle çalışır.,65,10,58,9,58,9, Daha iyi akması ve kulağa doğal gelmesi için cümleyi düzenleyin.  Malzemeyi daha iyi anlamak için her zaman özenle çalışır.
 Bu ifadenin izleyiciler tarafından nasıl karşılanacağını tahmin edin., Günlük hayatımızda tek kullanımlık plastik kullanımımızı azaltmaya başlamalıyız.," Bu açıklama, insanları tek kullanımlık plastik kullanımlarını azaltarak çevrelerine olumlu bir katkı yapmaya teşvik ettiği için büyük olasılıkla izleyiciler tarafından olumlu karşılanacaktır.",70,8,81,8,192,22, Bu ifadenin izleyiciler tarafından nasıl karşılanacağını tahmin edin.  Günlük hayatımızda tek kullanımlık plastik kullanımımızı azaltmaya başlamalıyız.
 Bu görevde aşağıdaki seçeneklerden cümlenin kaynağını belirlemeniz gerekmektedir. Çıktı aşağıdakilerden seçilmelidir: - Gazete - Ders kitabı - Çevrimiçi makale - Ansiklopedi, Tarihin en büyük askeri komutanlarından biri olarak kabul edilen Romalı bir devlet adamı ve filozoftu., Ansiklopedi,174,21,103,15,12,1, Bu görevde aşağıdaki seçeneklerden cümlenin kaynağını belirlemeniz gerekmektedir. Çıktı aşağıdakilerden seçilmelidir: - Gazete - Ders kitabı - Çevrimiçi makale - Ansiklopedi  Tarihin en büyük askeri komutanlarından biri olarak kabul edilen Romalı bir devlet adamı ve filozoftu.
 Bir makale verildiğinde otomatik olarak bir başlık oluşturun.," Derin öğrenme, gelişmiş tıbbi görüntüleme performansı vaat ediyor", Derin Öğrenme: Tıbbi Görüntüleme Performansının Geleceği,62,8,66,8,57,6," Bir makale verildiğinde otomatik olarak bir başlık oluşturun.  Derin öğrenme, gelişmiş tıbbi görüntüleme performansı vaat ediyor"
 Cümleyi aktif sesle yeniden yazın. Cümlenin çıktısını alın., Kapı onun tarafından açıldı., O kapıyı açtı.,60,8,29,4,15,3, Cümleyi aktif sesle yeniden yazın. Cümlenin çıktısını alın.  Kapı onun tarafından açıldı.
" Bir restoran siparişi verildiğinde, toplam fiyatı hesaplayın."," Bir pizza 12,50 dolardan, iki soda her biri 1,75 dolardan", Siparişin toplam fiyatı 16$'dır.,62,7,58,10,33,4," Bir restoran siparişi verildiğinde, toplam fiyatı hesaplayın.  Bir pizza 12,50 dolardan, iki soda her biri 1,75 dolardan"
 Verilen politikanın etkilerini özetleyen tek bir cümle oluşturun., Politika: Yenilenebilir enerjiye yatırım yapan işletmeler için vergi kredileri," Yenilenebilir enerjiye yatırım yapan işletmeler için vergi kredileri, şirketleri daha sürdürülebilir enerji kaynaklarına geçmeye teşvik ederek emisyon seviyelerinde ve diğer çevresel etkilerde düşüş sağladı.",66,8,79,9,208,24, Verilen politikanın etkilerini özetleyen tek bir cümle oluşturun.  Politika: Yenilenebilir enerjiye yatırım yapan işletmeler için vergi kredileri
 Söz verilen hizmeti sağlamadığı için bir işverene özür dileyen bir e-posta gönderin., Sebep: Teslimatta beklenmeyen gecikme.,"Sayın [İşveren], Söz verilen hizmeti beklenen zaman çizelgesinde sağlayamadığım için özür dilerim. Ne yazık ki, teslimatta tahmin edemediğim beklenmedik bir gecikme oldu. Bunun size rahatsızlık vermiş olabileceğini anlıyorum ve bunun için özür dilerim. Gelecekte beklenen zaman çizelgelerini karşılamak için her türlü çabayı göstereceğime sizi temin ederim. Sabrınız için teşekkürler, [Adınız]",85,12,39,4,393,50, Söz verilen hizmeti sağlamadığı için bir işverene özür dileyen bir e-posta gönderin.  Sebep: Teslimatta beklenmeyen gecikme.
 Verilen metne bir etiket atayın.," Sıcak hava balonu, elektriksiz bir uçak türüdür.", Etiket: Motorsuz Uçak,33,5,49,7,22,3," Verilen metne bir etiket atayın.  Sıcak hava balonu, elektriksiz bir uçak türüdür."
" Aşağıdaki web siteleri listesi göz önüne alındığında, her web sitesini değerlendirin ve 1'den 5'e kadar bir ölçekte puan verin (1 en düşük olandır)", - www.example.com - www.example2.com, www.example.com - 4 www.example2.com - 3,148,23,37,4,41,6," Aşağıdaki web siteleri listesi göz önüne alındığında, her web sitesini değerlendirin ve 1'den 5'e kadar bir ölçekte puan verin (1 en düşük olandır)  - www.example.com - www.example2.com"
 Sıfatın karşılaştırmalı ve üstün hallerini kullanarak cümleyi yeniden yazın., Yatak yumuşaktı., Yatak diğerlerinden daha yumuşaktı.,77,9,17,2,36,4, Sıfatın karşılaştırmalı ve üstün hallerini kullanarak cümleyi yeniden yazın.  Yatak yumuşaktı.
" Bazı malzemeler verildiğinde, sağlıklı bir atıştırmalık için bir tarif yazın."," Yulaf, muz, fıstık ezmesi","Muz Yulaf Barları: Fırını 350 ° F'ye ısıtın. Bir kasede 2 muzu ezin ve 1⁄2 bardak yulaf ile karıştırın. 1 yemek kaşığı fıstık ezmesi ve 1 yemek kaşığı balı bir araya gelinceye kadar karıştırın. Karışımı 8x8 inçlik bir fırın tepsisine yayın. 20 dakika pişirin, soğutun ve çubuklar halinde kesin. Eğlence!",78,10,26,4,303,50," Bazı malzemeler verildiğinde, sağlıklı bir atıştırmalık için bir tarif yazın.  Yulaf, muz, fıstık ezmesi"
 Doğru kelimeyi veya cümleyi girerek cümleyi tamamlayın, Gökyüzü bu gece _______., Bu gece gökyüzü yıldızlı.,55,7,25,4,26,4, Doğru kelimeyi veya cümleyi girerek cümleyi tamamlayın  Gökyüzü bu gece _______.
 Aşağıdaki parametrelerle bir dairenin alanını hesaplayın., yarıçap = 2m," Yarıçapı 2m olan bir dairenin alanı 12.57m2'dir. Bu, A =πr² formülü kullanılarak hesaplanabilir; burada A alan, π pi (3.14) ve r yarıçaptır. Bu durumda dairenin alanı 12.57m2'dir.",58,6,13,3,180,27, Aşağıdaki parametrelerle bir dairenin alanını hesaplayın.  yarıçap = 2m
 Verilen girdiye yanıt olarak bir Haiku oluşturun., Ağaçlardan düşen yapraklar., Yapraklar çırpınır ve aşağı doğru sürüklenir Hışırtılı sonbahar melodileri Hafif bir esintiyle,50,7,28,3,95,12, Verilen girdiye yanıt olarak bir Haiku oluşturun.  Ağaçlardan düşen yapraklar.
 Girişi kullanarak veritabanında bir görünüm oluşturun., Tablo: Öğrenciler, GÖRÜNÜM OLUŞTUR Öğrenci_görünümü OLARAK SEÇİN * Öğrencilerden;,55,6,18,2,63,7, Girişi kullanarak veritabanında bir görünüm oluşturun.  Tablo: Öğrenciler
 Aşağıdaki hikaye için uygun bir ahlaki ders oluşturun," Bir zamanlar, işini aksatan tembel bir çiftçi varmış. Tarlalarına gerektiği gibi bakmadı ve mahsulleri başarısız oldu.","İş ne kadar zor görünürse görünsün, başarıya ulaşmak için sıkı çalışma ve özveri gereklidir. Kestirme yolları kullanmanın kısa vadeli faydaları olsa da, uzun vadede başarı sebat, çaba ve kendini adamadan gelir.",54,8,119,16,210,31," Aşağıdaki hikaye için uygun bir ahlaki ders oluşturun  Bir zamanlar, işini aksatan tembel bir çiftçi varmış. Tarlalarına gerektiği gibi bakmadı ve mahsulleri başarısız oldu."
 _________ tarafından yapılan işin türünü sınıflandırın, Donald Trump," Donald Trump bir iş adamı ve Amerika Birleşik Devletleri'nin 45. Başkanı. Şu anda siyasi, ticari ve yasal faaliyetlerde bulunuyor. Ayrıca çeşitli medya kuruluşlarında aktiftir. Kategorizasyon Türü: İş, Politika, Hukuk, Medya.",55,6,13,2,226,30, _________ tarafından yapılan işin türünü sınıflandırın  Donald Trump
 Aşağıdaki cümlelerden hangisinin abartı örneği olduğunu belirleyiniz. Abartılı cümle için 1 ve diğer ikisi için 0 çıktısı., Dışarısı çok soğuk donarak ölebilirim Sınavdan A alamadım Hayatımın en kötü gününü geçirdim, 1,123,17,92,13,2,1, Aşağıdaki cümlelerden hangisinin abartı örneği olduğunu belirleyiniz. Abartılı cümle için 1 ve diğer ikisi için 0 çıktısı.  Dışarısı çok soğuk donarak ölebilirim Sınavdan A alamadım Hayatımın en kötü gününü geçirdim
 Bu verileri analiz etmek için hangi veri analizi tekniklerinin kullanılabileceğini tartışın.,Amerika Birleşik Devletleri'nde yaşayan 6-18 yaş arası çocuklarda obezitenin birincil nedenleri üzerine bir araştırma.,"Bu verileri analiz etmek için kullanılabilecek veri analizi teknikleri, çocuklar arasındaki obezite eğilimlerini incelemek için tanımlayıcı analizi; çeşitli faktörlerin çocuklar arasındaki obezite oranlarına nasıl katkıda bulunduğunu araştırmak için regresyon analizi; faktörler arasındaki ilişkiyi belirlemek için korelasyon analizi; ve obezite ile ilgili faktörlere dayalı olarak farklı segmentleri belirlemek için kümeleme analizi. Ek olarak, tahmine dayalı modelleme, bir çocuğun obez olma veya obez kalma olasılığını tahmin etmek için kullanılabilir. Çoklu regresyon, faktör analizi ve yapısal eşitlik modellemesi gibi diğer veri analizi teknikleri, çocuklar arasındaki obezitenin nedenlerini daha iyi anlamak için kullanılabilir.",93,11,118,14,735,89, Bu verileri analiz etmek için hangi veri analizi tekniklerinin kullanılabileceğini tartışın. Amerika Birleşik Devletleri'nde yaşayan 6-18 yaş arası çocuklarda obezitenin birincil nedenleri üzerine bir araştırma.
" Bir kullanıcının ""Kendimi yalnız hissediyorum"" girişi göz önüne alındığında, yalnızlıkla ilgili bir alıntı oluşturun.", yalnız hissediyorum," ""Yalnızlık, yalnız olmanın acısını, yalnızlık ise yalnız olmanın ihtişamını ifade eder."" -Paul Tillich",118,14,20,2,103,13," Bir kullanıcının ""Kendimi yalnız hissediyorum"" girişi göz önüne alındığında, yalnızlıkla ilgili bir alıntı oluşturun.  yalnız hissediyorum"
 Cümlede yazım ve dilbilgisi hatalarını kontrol edin, okyanusta yüzmeyi seviyorum," Cümle şu şekilde olmalıdır: ""Okyanusta yüzmeyi seviyorum.""",52,7,28,3,59,7, Cümlede yazım ve dilbilgisi hatalarını kontrol edin  okyanusta yüzmeyi seviyorum
 Verilen cümleye karşılaştırmalı formu ekleyin, Sınavım zordu., Sınavım beklediğimden daha zordu.,46,5,15,2,34,4, Verilen cümleye karşılaştırmalı formu ekleyin  Sınavım zordu.
 Bu İngilizce cümleyi pasif sese yeniden yazın., Mary raporu yazdı., Rapor Mary tarafından yazılmıştır.,47,7,19,3,35,4, Bu İngilizce cümleyi pasif sese yeniden yazın.  Mary raporu yazdı.
 'X' için bir çözüm önerin., X: Kırsal alanlarda sağlık hizmetlerine yetersiz erişim," Potansiyel bir çözüm, sağlık çalışanlarının kırsal alanlara uzaktan kaliteli sağlık hizmeti sunmasına olanak tanıyan teletıp hizmetlerinin ve telesağlık ağlarının geliştirilmesini desteklemek için hükümetten ve özel kuruluşlardan gelen finansmanı artırmaktır. Bu da sağlık hizmetlerinin çok daha ekonomik ve verimli bir şekilde sunulmasını sağlayacaktır.",27,5,56,7,355,42, 'X' için bir çözüm önerin.  X: Kırsal alanlarda sağlık hizmetlerine yetersiz erişim
 Bu cümleyi farklı bir anlama sahip olacak şekilde yeniden formüle edin., İnsanlar onlarca yıldır bilgisayar kullanıyor., Bilgisayarlar onlarca yıldır var.,72,11,47,5,34,4, Bu cümleyi farklı bir anlama sahip olacak şekilde yeniden formüle edin.  İnsanlar onlarca yıldır bilgisayar kullanıyor.
 Aşağıdaki parçayı en fazla 5 cümle kullanarak özetleyin.,"Halk arasında yüz maskelerinin kullanımı giderek yaygınlaşıyor. Bunun nedeni, yüz maskelerinin virüslerin ve mevsimsel grip gibi diğer hastalıkların bulaşmasını azaltmaya yardımcı olmasıdır. Yüz maskeleri ayrıca, insanların virüsleri bulaştırmanın yaygın bir yolu olan yüzlerine dokunmasını önlemek için caydırıcı bir işlev görür. Ayrıca yüz maskesi takmak, halkın sağlığını korumak için çalışanlara saygı göstergesi olarak hizmet edebilir.",Yüz maskelerinin virüs önlemedeki faydaları nedeniyle toplum içinde kullanımı giderek yaygınlaşıyor. Fiziksel bir bariyer görevi görerek virüslerin bulaşmasını azaltırlar ve insanların yüzlerine dokunmasını engellemeye yardımcı olurlar. Ayrıca maske takmak sağlık çalışanlarına saygının bir ifadesidir.,57,8,440,54,302,34," Aşağıdaki parçayı en fazla 5 cümle kullanarak özetleyin. Halk arasında yüz maskelerinin kullanımı giderek yaygınlaşıyor. Bunun nedeni, yüz maskelerinin virüslerin ve mevsimsel grip gibi diğer hastalıkların bulaşmasını azaltmaya yardımcı olmasıdır. Yüz maskeleri ayrıca, insanların virüsleri bulaştırmanın yaygın bir yolu olan yüzlerine dokunmasını önlemek için caydırıcı bir işlev görür. Ayrıca yüz maskesi takmak, halkın sağlığını korumak için çalışanlara saygı göstergesi olarak hizmet edebilir."
Aşağıdaki cümle için doğru fiili seçin, Rachel ve Michael _______ beş aydır çıkıyorlar., olmuştur,38,6,48,7,9,1,Aşağıdaki cümle için doğru fiili seçin  Rachel ve Michael _______ beş aydır çıkıyorlar.
 Bisikletçinin ne tür bir bisiklet kullandığını öğrenin., Bisikletçi kalabalık pazar sokağında hızla ilerliyordu.,"Bisikletçi asfalt yollarda hız, çeviklik ve viraj almak için tasarlanmış bir yol bisikleti kullanıyordu. Hafif çerçevelere, ince lastiklere sahiptir ve aerodinamik için alçaltılmış gidonlarla donatılmıştır. Yol bisikletleri genellikle uzun mesafeli seyahatler ve eğlence amaçlı bisiklet sürmek için uygundur.",56,7,56,6,308,38, Bisikletçinin ne tür bir bisiklet kullandığını öğrenin.  Bisikletçi kalabalık pazar sokağında hızla ilerliyordu.
 Aşağıdaki kurulumla komik bir şaka oluşturun., Kurulum: Bir at bir bara girer," At barmene sorar: ""Neden uzun surat?""",46,6,31,6,38,6, Aşağıdaki kurulumla komik bir şaka oluşturun.  Kurulum: Bir at bir bara girer
 Bir cümlenin duygusunu tanımlamak için bir sınıflandırma algoritması kullanma., Bu ürün gerçekten kötü., Olumsuz duygu.,79,9,24,4,15,2, Bir cümlenin duygusunu tanımlamak için bir sınıflandırma algoritması kullanma.  Bu ürün gerçekten kötü.
 Yüz tanıma teknolojisi ile ilgili aşağıdaki makaleyi en fazla 100 kelimeyle özetleyin.,"Yüz tanıma teknolojisi, modern dünyada giderek daha yaygın hale geliyor. Şirketler bunu müşterileri doğrulamak için kullanıyor, kolluk kuvvetleri onu şüphelileri araştırmak için kullanıyor ve artık telefonlarımız bile sadece bir bakışta kilidi açabiliyor. Yüz tanımanın olumlu uygulamaları olabileceğine şüphe yokken, kötüye kullanım potansiyeli de var. Gizlilik savunucuları, teknolojinin doğruluğu ve hükümetler tarafından vatandaşlarını izlemek için kullanılma potansiyeli ile ilgili endişelerini dile getirdi.","Yüz tanıma teknolojisi, şirketlerin müşterilerini doğrulamasına, kolluk kuvvetlerinin şüphelileri soruşturmasına ve hatta telefonlarımızın kilidini bir bakışta açmasına olanak tanıyarak her yerde giderek yaygınlaşıyor. Potansiyel olumlu kullanımları olsa da, yanlışlık, şeffaflık eksikliği ve hükümetler tarafından vatandaşları izlemek için potansiyel kötüye kullanım gibi riskler de vardır. Gizlilik savunucuları, teknolojinin sorumlu bir şekilde kullanılmasını sağlamak için güvenlik önlemlerine ve daha fazla gözetime duyulan ihtiyacı vurgulayarak bu endişeleri dile getirdiler.",87,12,513,61,581,66," Yüz tanıma teknolojisi ile ilgili aşağıdaki makaleyi en fazla 100 kelimeyle özetleyin. Yüz tanıma teknolojisi, modern dünyada giderek daha yaygın hale geliyor. Şirketler bunu müşterileri doğrulamak için kullanıyor, kolluk kuvvetleri onu şüphelileri araştırmak için kullanıyor ve artık telefonlarımız bile sadece bir bakışta kilidi açabiliyor. Yüz tanımanın olumlu uygulamaları olabileceğine şüphe yokken, kötüye kullanım potansiyeli de var. Gizlilik savunucuları, teknolojinin doğruluğu ve hükümetler tarafından vatandaşlarını izlemek için kullanılma potansiyeli ile ilgili endişelerini dile getirdi."
 Verilen kelimeleri isim ve fiil kategorilerine göre sıralayın.," yemek yap, oyna, kaşıkla"," İsimler: kaşık Fiiller: pişirmek, oynamak",63,8,25,4,42,5," Verilen kelimeleri isim ve fiil kategorilerine göre sıralayın.  yemek yap, oyna, kaşıkla"
 Verilen kelimenin İngilizce'den İspanyolca'ya çevirisi nedir?, Masa, Mesa.,62,6,5,1,6,1, Verilen kelimenin İngilizce'den İspanyolca'ya çevirisi nedir?  Masa
 Bir hipotezin neden geçerli olduğunu açıklayın., Artan müşteri harcamaları şirket karlarını artıracaktır.," Bu hipotez geçerlidir, çünkü müşteri harcaması arttıkça, bir işletmenin artan karlara katkıda bulunacak olan artan gelirleri deneyimlemesi muhtemeldir. Artan müşteri harcaması, mevcut müşteri satışlarından veya yeni müşteri akışından gelebilir ve her ikisi de daha fazla kar sağlayabilir.",48,6,57,6,289,37, Bir hipotezin neden geçerli olduğunu açıklayın.  Artan müşteri harcamaları şirket karlarını artıracaktır.
 Verilen listeden verilen cümleye en iyi uyan doğru atasözünü bulun.," Sorup cevabını bilmek, sorup da karanlıkta kalmaktan her zaman daha iyidir."," ""Bir fırsata hazırlıklı olup da sahip olmamak, bir fırsata sahip olup hazırlıksız olmaktan daha iyidir."" - Whitney M. Young, Jr.",68,10,76,11,129,20," Verilen listeden verilen cümleye en iyi uyan doğru atasözünü bulun.  Sorup cevabını bilmek, sorup da karanlıkta kalmaktan her zaman daha iyidir."
 Belirli bir diziyi sıralamak için bir hızlı sıralama algoritması uygulayın.," [4, 3, 5, 9, 1]"," [1, 3, 4, 5, 9]",76,10,16,5,16,5," Belirli bir diziyi sıralamak için bir hızlı sıralama algoritması uygulayın.  [4, 3, 5, 9, 1]"
 Bir akış hizmeti önerin, korku filmi izlemeyi severim,"Netflix, korku severler için harika bir akış hizmetidir. Film tarihi boyunca kült favoriler de dahil olmak üzere geniş bir korku filmi koleksiyonuna sahiptir. Gelecekte izlemek istediğiniz filmleri takip etmenizi sağlayan 'Listem' özelliği de bulunmaktadır. Ayrıca birçok özel başlığı vardır, bu nedenle ilginizi çeken bir şey bulacağınızdan emin olabilirsiniz.",24,4,29,4,361,48, Bir akış hizmeti önerin  korku filmi izlemeyi severim
Bu cümledeki en uzun kelimeyi heceleyin., Supercalifragilisticexpialidocious yapmak istiyor musunuz?, süperkalifragilistikexpialidocious,40,6,59,4,35,1,Bu cümledeki en uzun kelimeyi heceleyin.  Supercalifragilisticexpialidocious yapmak istiyor musunuz?
" Aşağıdaki öğünü kahvaltı, öğle yemeği veya akşam yemeği olarak sınıflandırın.", Krep ve domuz pastırması, Kahvaltı.,78,10,25,4,10,1," Aşağıdaki öğünü kahvaltı, öğle yemeği veya akşam yemeği olarak sınıflandırın.  Krep ve domuz pastırması"
 Aşağıdaki iki resmi analiz edin ve karşılaştırın., 1. Resim: Monet'nin “Nilüferleri” 2. Resim: Renoir'ın “Bougival'da Dans”ı,"Monet'nin “Nilüferler” ve Renoir'ın “Bougival'de Dans” adlı iki tablosu farklı görsel izlenimler veriyor. Monet'nin çizimleri, kendine özgü izlenimciliğiyle mavinin rüya gibi tonlarından oluşuyor. Odak noktası merkezde kesişen nilüferler olmak üzere, resim boyunca büyük bir belirsizlik ve hareket var. Resim, bir huzur ve mutluluk atmosferi sağlar. Buna karşın, Renoir'ın “Dance at Bougival” adlı eseri, canlı renkler ve gerçeğe yakın ayrıntılarla çok daha canlı bir sahne sergiliyor. Güçlü fırça darbeleri, bir partide dans eden tasasız bir grup insanı tasvir ediyor. Bu, Monet'nin daha iç gözlemsel çalışmasıyla keskin bir tezat oluşturan, hareket, neşe ve hazzın bir resmidir.",50,7,74,9,680,94, Aşağıdaki iki resmi analiz edin ve karşılaştırın.  1. Resim: Monet'nin “Nilüferleri” 2. Resim: Renoir'ın “Bougival'da Dans”ı
Küresel ısınma hakkında bir makale yazmak için verilen gerçekleri kullanın.," Küresel ısınma, Dünya atmosferinin ve okyanuslarının ortalama sıcaklığındaki kademeli artıştır ve Dünya'nın iklimini kalıcı olarak değiştirdiğine inanılan bir değişikliktir.","İklim değişikliği dünyayı sayısız şekilde etkiliyor, ancak hiçbiri küresel ısınmadan daha belirgin değil. Küresel ısınma veya Dünya atmosferinin ve okyanuslarının ortalama sıcaklığındaki kademeli artış, insan faaliyetlerinin doğrudan bir sonucudur. Karbondioksit emisyonları, ormansızlaşma ve Dünya'nın yörüngesindeki doğal dalgalanmalar, sıcaklığın yükselmesine katkıda bulunuyor ve bu da hava düzenlerinde, deniz seviyelerinde ve hayvan ve bitki habitatlarında çarpıcı değişimlere neden oluyor. Köklü değişiklikler yapmazsak, küresel ısınma kuraklık ve kıtlığa, türlerin yok olmasına ve artan hava, su ve toprak kirliliğine yol açabilir. Küresel ısınmanın korkunç sonuçlarından kaçınmak için insanlık, fosil yakıtlara olan bağımlılığımızı azaltmak için şimdi harekete geçmeli ve kalıcı çözümler bulmak için birlikte çalışmalıdır.",75,10,174,19,831,100,"Küresel ısınma hakkında bir makale yazmak için verilen gerçekleri kullanın.  Küresel ısınma, Dünya atmosferinin ve okyanuslarının ortalama sıcaklığındaki kademeli artıştır ve Dünya'nın iklimini kalıcı olarak değiştirdiğine inanılan bir değişikliktir."
 Aşağıdaki şiiri tahlil ediniz.," Ağaçlar - Philip Larkin Ağaçlar yapraklanıyor Neredeyse söylenecek bir şey gibi; Son tomurcuklar gevşer ve yayılır, Yeşillikleri bir nevi hüzündür.","Philip Larkin'in ""Ağaçlar"" şiirinde anlatıcı, doğanın güzelliğini yansıtır ama aynı zamanda bir üzüntü ve keder duygusu da aktarır. Şiir boyunca ağaçlar, tüm güzelliği ve hüznüyle hayat yolculuğunu simgeler. “Son tomurcuklar” yeni başlangıçları ve hayatın kırılganlığını temsil eder. Anlatıcı, ""yeşillik"" hem neşeyi hem de kederi ifade ettiği için hayatın hem güzel hem de hüzünlü olabileceğini kabul eder. Şiir nihayetinde hayatın hüznünü ve aynı zamanda getirebileceği umudu da aktarır.",31,4,148,20,488,67," Aşağıdaki şiiri tahlil ediniz.  Ağaçlar - Philip Larkin Ağaçlar yapraklanıyor Neredeyse söylenecek bir şey gibi; Son tomurcuklar gevşer ve yayılır, Yeşillikleri bir nevi hüzündür."
" Aşağıdaki girdiye göre, aşağıdaki metni iyi veya kötü yazı olarak sınıflandırın."," Peter, kendisine sunulan her türlü zorluğu şevkle aşmaya her zaman hevesli olan olağanüstü bir insandı.", Güzel yazı.,81,11,104,15,12,2," Aşağıdaki girdiye göre, aşağıdaki metni iyi veya kötü yazı olarak sınıflandırın.  Peter, kendisine sunulan her türlü zorluğu şevkle aşmaya her zaman hevesli olan olağanüstü bir insandı."
 Bu cümleyi daha az kelimeyle ve yine aynı anlama gelecek şekilde yeniden yazın., Üç öğrenci kütüphaneye gitmemeye karar verdi, Öğrenciler 3 kütüphaneyi atladı.,80,13,45,6,33,4, Bu cümleyi daha az kelimeyle ve yine aynı anlama gelecek şekilde yeniden yazın.  Üç öğrenci kütüphaneye gitmemeye karar verdi
